;;;;;;;;
nom_fichier;num_poste;nom_usuel;latitude;longitude;altitude;temperature;;
SH_MTN249328001.csv;49328001;SAUMUR;47.252;-0.074;69;3.7;;
SH_MTN250020001.csv;50020001;PTE DE LA HAGUE;49.725;-1.94;6;6.3;;
SH_MTN051262001.csv;51262001;FRIGNICOURT;48.701;4.618;113;2.2;;
SH_MTN152123003.csv;52123003;CHEVILLON_SAPC;48.523;5.114;170;1.5;;
SH_MTN252145001.csv;52145001;COUBLANC;47.692;5.46;258;1.6;;
SH_MTN252197003.csv;52197003;FAYL-BILLOT_SAPC;47.784;5.615;347;1.2;;
SH_MTN352269001.csv;52269001;LANGRES;47.844;5.338;466;0.9;;
SH_MTN152332001.csv;52332001;VAL-DE-MEUSE;48.022;5.587;380;0.7;;
SH_MTN152448001.csv;52448001;ST-DIZIER;48.631;4.904;139;2.2;;
SH_MTN052469001.csv;52469001;CHAUMONT-SEMOUTIERS;48.092;5.046;294;0.7;;
SH_MTN153097001.csv;53097001;EVRON;48.168;-0.388;107;2.3;;
SH_MTN053147001.csv;53147001;MAYENNE;48.311;-0.64;138;2.6;;
SH_MTN153185001.csv;53185001;PRE-EN-PAIL_SAPC;48.452;-0.183;277;2.2;;
SH_MTN154040001.csv;54040001;BADONVILLER;48.498;6.896;336;0.4;;
SH_MTN154405001.csv;54405001;NANCY-OCHEY;48.581;5.96;336;1.1;;
SH_MTN254526001.csv;54526001;NANCY-ESSEY;48.688;6.222;212;1.3;;
SH_MTN156009001.csv;56009001;BELLE ILE-LE TALUT;47.294;-3.218;34;5.6;;
SH_MTN256069001.csv;56069001;ILE DE GROIX;47.652;-3.502;41;5.9;;
SH_MTN056165003.csv;56165003;PLOERMEL;47.951;-2.398;65;3.3;;
SH_MTN156185001.csv;56185001;LORIENT-LANN BIHOUE;47.763;-3.436;45;3.5;;
SH_MTN257039001.csv;57039001;METZ-FRESCATY;49.07;6.125;192;1.6;;
SH_MTN357168001.csv;57168001;PHALSBOURG_SAPC;48.767;7.306;377;1;;
